arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,n_train,cycle_steps,cum_step,cum_samples,cycle_wall_s,final_train_loss,final_val_mse_noisy,final_val_mse_clean,final_train_val_gap,best_val_mse_clean,step_of_best,handoff_step,best_at_boundary,rollout_std,truth_std,stable,batch_order_hash,vt_mtu@0.2,vt_mtu@0.3,vt_mtu@0.5,vt_mtu@0.8,effective_rank,dormant_frac,weight_norm,wnorm::body.0.weight,wnorm::body.2.weight,wnorm::body.4.weight,wnorm::head.weight,wratio::body.0.weight,wratio::body.2.weight,wratio::body.4.weight,wratio::head.weight
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2000,6000,6000,1536000,23.369,nan,0.01319496,0.00861711,0.01319496,0.00454041,72,72,0,0.99570841,0.99916321,1,1949d6a0f7dfd389,0.7,0.95,1.4,2.45,99.54532623,0.0,22.75445748,13.08842659,13.15856075,13.15064812,0.60922712,1.00254834,1.00710887,1.00622813,1.02843395
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,102,500004,1,4000,6000,12000,3072000,21.911,nan,0.01302585,0.00823418,0.01302585,0.004553,72,72,0,0.95975512,0.99916321,1,0cf4751c3b3ca1e0,0.75,1.0,1.55,2.5,98.52892303,0.0,22.81684966,13.18464661,13.16803932,13.15405464,0.5893296,1.00273474,1.00762317,1.00679441,1.03262047
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,103,500005,2,6000,6000,18000,4608000,21.895,nan,0.01302638,0.00820318,0.01302638,0.00443607,83,83,0,0.99012309,0.99916321,1,95e271ebb909b569,0.7,0.95,1.45,2.45,92.83256531,0.0,22.75233814,13.03278351,13.18969727,13.17106152,0.60866207,1.00364609,1.0092322,1.00789326,1.04271732
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,104,500006,3,8000,6000,24000,6144000,21.909,nan,0.01293162,0.00795849,0.01293162,0.00453852,72,72,0,1.01262212,0.99916321,1,9ac25a5a27aa15e6,0.75,1.0,1.5,2.45,95.59728241,0.0,22.79049769,13.14722252,13.16604328,13.14744186,0.59783095,1.00267115,1.00758021,1.00650949,1.03001289
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,105,500007,4,10000,6000,30000,7680000,21.889,nan,0.01291029,0.00811501,0.01291029,0.00458856,72,72,0,0.97854286,0.99916321,1,bf14292649ebd118,0.8,1.05,1.6,2.65,99.47510529,0.0,22.74591718,13.07439709,13.15711212,13.1519928,0.59361219,1.00265065,1.00706033,1.00621898,1.02632318
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,106,500008,5,12000,6000,36000,9216000,21.878,nan,0.01292155,0.00804366,0.01292155,0.00452187,72,72,0,1.01322961,0.99916321,1,2cfe2780ba0dda8b,0.75,0.95,1.5,2.5,95.10900879,0.0,22.72945403,13.05022049,13.16214085,13.14302063,0.58213633,1.00268562,1.00748678,1.0063037,1.03221507
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,107,500009,6,14000,6000,42000,10752000,21.769,nan,0.01301107,0.0080796,0.01301107,0.00446374,72,72,0,0.97752464,0.99916321,1,c2c572b2e58ec64b,0.75,0.95,1.45,2.4,100.2179184,0.0,22.75425937,13.09536648,13.16247082,13.13982391,0.60173559,1.00245923,1.00722926,1.00607709,1.0243597
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,108,500010,7,16000,6000,48000,12288000,21.835,nan,0.01291912,0.00802121,0.01291912,0.00460144,72,72,0,0.9919458,0.99916321,1,2021572ab6638b9d,0.75,1.0,1.55,2.6,96.41692352,0.0,22.73395279,13.05492306,13.15725994,13.15023041,0.59962022,1.00268281,1.00739387,1.00636243,1.03073066
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,109,500011,8,18000,6000,54000,13824000,21.901,nan,0.0129195,0.00799897,0.0129195,0.00452378,72,72,0,0.981336,0.99916321,1,489e23f51b008fc4,0.75,1.05,1.55,2.7,98.60426331,0.0,22.78895985,13.15424824,13.16036701,13.14364624,0.59308338,1.00256069,1.007507,1.00647228,1.03049184
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,110,500012,9,20000,6000,60000,15360000,21.732,nan,0.01293945,0.00802686,0.01293945,0.00443942,72,72,0,0.99709743,0.99916321,1,040bcd59dd6721e7,0.75,1.0,1.55,2.6,99.24881744,0.0,22.75812427,13.10432339,13.15690517,13.14284992,0.60849917,1.00247429,1.00687,1.00620092,1.02643608
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,2000,6000,6000,1536000,23.33,nan,0.01311764,0.00855135,0.01311764,0.00463162,72,72,0,1.00332916,1.00046194,1,57e8b5dd5ea69964,0.7,0.95,1.4,2.25,101.06676483,0.0,22.77672768,13.11925411,13.16428947,13.1537714,0.58675045,1.00284388,1.00756122,1.00692641,1.03262512
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1102,600007,1,4000,6000,12000,3072000,21.806,nan,0.01300226,0.00819669,0.01300226,0.00472731,72,72,0,0.98387277,1.00046194,1,c2107d5e0df6ce0e,0.7,0.95,1.45,2.45,100.04045105,0.0,22.74540834,13.0684557,13.16171646,13.15185738,0.60575062,1.00278422,1.00739694,1.00645425,1.0298357
