arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,n_train,cycle_steps,cum_step,cum_samples,cycle_wall_s,final_train_loss,final_val_mse_noisy,final_val_mse_clean,final_train_val_gap,best_val_mse_clean,step_of_best,handoff_step,best_at_boundary,rollout_std,truth_std,stable,batch_order_hash,vt_mtu@0.2,vt_mtu@0.3,vt_mtu@0.5,vt_mtu@0.8,effective_rank,dormant_frac,weight_norm,wnorm::body.0.weight,wnorm::body.2.weight,wnorm::body.4.weight,wnorm::head.weight,wratio::body.0.weight,wratio::body.2.weight,wratio::body.4.weight,wratio::head.weight
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2000,6000,6000,1536000,23.735,nan,0.0041618,0.00346604,0.0041618,0.00080251,202,202,0,1.00330746,0.99916321,1,1949d6a0f7dfd389,0.85,1.1,1.55,2.6,88.97582245,0.0,23.22573192,12.8814497,13.85846424,13.46447945,0.39196813,0.9866943,1.06067696,1.03024109,0.66167989
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,102,500004,1,4000,0,6000,1536000,0.084,nan,0.00473312,0.00080251,0.00473312,0.00080251,0,0,0,1.00327921,0.99916321,1,,0.6,0.8,1.3,2.35,88.97582245,0.0,23.22573192,12.8814497,13.85846424,13.46447945,0.39196813,0.9866943,1.06067696,1.03024109,0.66167989
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,103,500005,2,6000,0,6000,1536000,0.085,nan,0.00473312,0.00080251,0.00473312,0.00080251,0,0,0,1.00327921,0.99916321,1,,0.6,0.8,1.3,2.35,88.97582245,0.0,23.22573192,12.8814497,13.85846424,13.46447945,0.39196813,0.9866943,1.06067696,1.03024109,0.66167989
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,104,500006,3,8000,0,6000,1536000,0.084,nan,0.00473312,0.00080251,0.00473312,0.00080251,0,0,0,1.00327921,0.99916321,1,,0.6,0.8,1.3,2.35,88.97582245,0.0,23.22573192,12.8814497,13.85846424,13.46447945,0.39196813,0.9866943,1.06067696,1.03024109,0.66167989
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,105,500007,4,10000,0,6000,1536000,0.084,nan,0.00473312,0.00080251,0.00473312,0.00080251,0,0,0,1.00327921,0.99916321,1,,0.6,0.8,1.3,2.35,88.97582245,0.0,23.22573192,12.8814497,13.85846424,13.46447945,0.39196813,0.9866943,1.06067696,1.03024109,0.66167989
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,106,500008,5,12000,0,6000,1536000,0.084,nan,0.00473312,0.00080251,0.00473312,0.00080251,0,0,0,1.00327921,0.99916321,1,,0.6,0.8,1.3,2.35,88.97582245,0.0,23.22573192,12.8814497,13.85846424,13.46447945,0.39196813,0.9866943,1.06067696,1.03024109,0.66167989
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,107,500009,6,14000,0,6000,1536000,0.084,nan,0.00473312,0.00080251,0.00473312,0.00080251,0,0,0,1.00327921,0.99916321,1,,0.6,0.8,1.3,2.35,88.97582245,0.0,23.22573192,12.8814497,13.85846424,13.46447945,0.39196813,0.9866943,1.06067696,1.03024109,0.66167989
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,108,500010,7,16000,0,6000,1536000,0.084,nan,0.00473312,0.00080251,0.00473312,0.00080251,0,0,0,1.00327921,0.99916321,1,,0.6,0.8,1.3,2.35,88.97582245,0.0,23.22573192,12.8814497,13.85846424,13.46447945,0.39196813,0.9866943,1.06067696,1.03024109,0.66167989
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,109,500011,8,18000,0,6000,1536000,0.084,nan,0.00473312,0.00080251,0.00473312,0.00080251,0,0,0,1.00327921,0.99916321,1,,0.6,0.8,1.3,2.35,88.97582245,0.0,23.22573192,12.8814497,13.85846424,13.46447945,0.39196813,0.9866943,1.06067696,1.03024109,0.66167989
frozen,1,1,1,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,110,500012,9,20000,0,6000,1536000,0.084,nan,0.00473312,0.00080251,0.00473312,0.00080251,0,0,0,1.00327921,0.99916321,1,,0.6,0.8,1.3,2.35,88.97582245,0.0,23.22573192,12.8814497,13.85846424,13.46447945,0.39196813,0.9866943,1.06067696,1.03024109,0.66167989
