arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,n_train,cycle_steps,cum_step,cum_samples,cycle_wall_s,final_train_loss,final_val_mse_noisy,final_val_mse_clean,final_train_val_gap,best_val_mse_clean,step_of_best,handoff_step,best_at_boundary,rollout_std,truth_std,stable,batch_order_hash,vt_mtu@0.2,vt_mtu@0.3,vt_mtu@0.5,vt_mtu@0.8,effective_rank,dormant_frac,weight_norm,wnorm::body.0.weight,wnorm::body.2.weight,wnorm::body.4.weight,wnorm::head.weight,wratio::body.0.weight,wratio::body.2.weight,wratio::body.4.weight,wratio::head.weight
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2000,6000,6000,1536000,23.184,nan,0.00417001,0.00346427,0.00417001,0.00080251,202,202,0,1.01525974,0.99916321,1,1949d6a0f7dfd389,0.85,1.1,1.6,2.65,88.97570038,0.0,23.22573027,12.88144875,13.85846329,13.46447849,0.39196816,0.98669423,1.06067689,1.03024102,0.66167994
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,102,500004,1,4000,6000,12000,3072000,21.697,nan,0.00348259,0.00233524,0.00348259,0.00073449,174,174,0,1.00614142,0.99916321,1,0cf4751c3b3ca1e0,0.95,1.25,1.7,2.7,82.67245483,0.0,23.27536588,12.9825964,13.8382988,13.47427654,0.37444052,0.98736818,1.05891167,1.03130378,0.65609287
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,103,500005,2,6000,6000,18000,4608000,21.799,nan,0.00349149,0.00228917,0.00349149,0.00065847,174,174,0,0.98085862,0.99916321,1,95e271ebb909b569,0.75,1.05,1.5,2.6,86.25596619,0.0,23.17098051,12.81400013,13.85423756,13.4391222,0.38188303,0.98679773,1.06008064,1.02840615,0.65421531
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,104,500006,3,8000,6000,24000,6144000,21.819,nan,0.00331526,0.00204699,0.00331526,0.00072422,174,174,0,1.00245786,0.99916321,1,9ac25a5a27aa15e6,1.05,1.3,1.8,2.9,82.993927,0.0,23.21617767,12.93496323,13.80229759,13.45462799,0.38366511,0.98648322,1.05627192,1.03002629,0.66102301
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,105,500007,4,10000,6000,30000,7680000,21.891,nan,0.00333907,0.00208649,0.00333907,0.00074966,174,174,0,0.99932712,0.99916321,1,bf14292649ebd118,1.0,1.3,1.8,2.85,80.25508118,0.0,23.21847684,12.87215614,13.82653999,13.49391174,0.38262367,0.98714118,1.0582991,1.03237816,0.66153551
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,106,500008,5,12000,6000,36000,9216000,21.876,nan,0.00328614,0.00208448,0.00328614,0.00079552,174,174,0,1.00214446,0.99916321,1,2cfe2780ba0dda8b,0.95,1.25,1.75,2.8,90.13237,0.0,23.19292699,12.84241199,13.8446331,13.46010017,0.36899036,0.9867191,1.05972767,1.0305811,0.65427528
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,107,500009,6,14000,6000,42000,10752000,21.803,nan,0.00331777,0.00199598,0.00331777,0.00075336,174,174,0,0.99485433,0.99916321,1,c2c572b2e58ec64b,0.95,1.25,1.75,2.9,86.66643524,0.0,23.20806275,12.88998413,13.84462166,13.44021893,0.38659039,0.98673707,1.05942936,1.02907744,0.65810902
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,108,500010,7,16000,6000,48000,12288000,21.981,nan,0.00330398,0.0019912,0.00330398,0.00070843,202,202,0,0.9831906,0.99916321,1,2021572ab6638b9d,1.0,1.35,1.85,3.0,85.01296997,0.0,23.22245175,12.84644032,13.89143372,13.45814323,0.39709762,0.98667031,1.06360635,1.02992642,0.68259987
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,109,500011,8,18000,6000,54000,13824000,21.957,nan,0.00334945,0.0020369,0.00334945,0.00074084,174,174,0,0.97678089,0.99916321,1,489e23f51b008fc4,0.95,1.2,1.7,2.8,81.21182251,0.0,23.26940055,12.95888329,13.87216473,13.45179939,0.38011149,0.98767081,1.06199949,1.03006905,0.66044977
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,0,0,9973,110,500012,9,20000,6000,60000,15360000,21.845,nan,0.00329044,0.00197626,0.00329044,0.00065939,202,202,0,0.97827315,0.99916321,1,040bcd59dd6721e7,0.9,1.2,1.7,2.75,94.47966766,0.0,23.22220305,12.89736938,13.88610935,13.41452789,0.39368266,0.98664241,1.06267445,1.02700027,0.66407664
