arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,step,cum_step,cum_samples,cycle_wall_s,n_train,train_loss,val_mse_noisy,val_mse_clean,train_val_gap,valid_time_mtu,valid_time_lyap,weight_norm
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,1,1,256,1.118,2000,0.08510386,0.52077979,0.5020088,0.43567593,0.0,0.0,22.69087586
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2,2,512,2.119,2000,0.52228671,0.72974718,0.70873839,0.20746046,0.0,0.0,22.68825649
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,3,3,768,2.163,2000,0.72640198,0.16187412,0.14119959,-0.56452787,0.05,0.08355,22.66205856
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,4,4,1024,2.207,2000,0.16142328,0.06451292,0.04426203,-0.09691036,0.1,0.1671,22.65834651
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,5,5,1280,2.245,2000,0.06416263,0.1437853,0.1237072,0.07962267,0.05,0.08355,22.66837214
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,6,6,1536,2.282,2000,0.14297329,0.07519995,0.05487839,-0.06777334,0.05,0.08355,22.67685808
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,7,7,1792,2.32,2000,0.07614552,0.06913701,0.04839119,-0.00700851,0.05,0.08355,22.69038944
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,8,8,2048,2.358,2000,0.06843042,0.1601036,0.13902141,0.09167318,0.05,0.08355,22.70814067
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,9,9,2304,2.396,2000,0.16192472,0.11555556,0.09446867,-0.04636916,0.05,0.08355,22.72288711
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,11,11,2816,2.436,2000,0.07892192,0.07964372,0.05889023,0.0007218,0.05,0.08355,22.75643997
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,12,12,3072,2.474,2000,0.0802052,0.10318779,0.08237357,0.02298259,0.05,0.08355,22.7719723
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,14,14,3584,2.546,2000,0.07930687,0.03979186,0.0184303,-0.03951501,0.15,0.25065,22.79272706
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,16,16,4096,2.585,2000,0.05303341,0.0747522,0.05311098,0.02171879,0.05,0.08355,22.81593255
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,19,19,4864,2.628,2000,0.05362524,0.03946779,0.01813121,-0.01415745,0.15,0.25065,22.85402313
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,22,22,5632,2.67,2000,0.04722904,0.04155758,0.02035306,-0.00567145,0.1,0.1671,22.88558207
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,26,26,6656,2.714,2000,0.03660589,0.04185525,0.0206725,0.00524936,0.1,0.1671,22.91732956
warm_all,1,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,30,30,7680,2.759,2000,0.03729332,0.03171366,0.01075032,-0.00557966,0.2,0.3342,22.9519357
