arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,n_train,cycle_steps,cum_step,cum_samples,cycle_wall_s,final_train_loss,final_val_mse_noisy,final_val_mse_clean,final_train_val_gap,best_val_mse_clean,step_of_best,handoff_step,best_at_boundary,rollout_std,truth_std,stable,batch_order_hash,vt_mtu@0.2,vt_mtu@0.3,vt_mtu@0.5,vt_mtu@0.8,effective_rank,dormant_frac,weight_norm,wnorm::body.0.weight,wnorm::body.2.weight,wnorm::body.4.weight,wnorm::head.weight,wratio::body.0.weight,wratio::body.2.weight,wratio::body.4.weight,wratio::head.weight
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,2000,6000,6000,1536000,23.178,nan,0.00440615,0.00374057,0.00440615,0.00074138,174,174,0,1.00117171,1.00046194,1,57e8b5dd5ea69964,0.75,1.0,1.35,2.25,93.27352142,0.0,23.24174922,12.91053009,13.86658192,13.45642376,0.37374458,0.98688889,1.0613129,1.03009457,0.657755
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1102,600007,1,4000,6000,12000,3072000,21.567,nan,0.00345264,0.00220404,0.00345264,0.00074493,150,150,0,0.98229426,1.00046194,1,c2107d5e0df6ce0e,1.0,1.2,1.7,2.8,94.67738342,0.0,23.16336851,12.84883404,13.82938862,13.4179945,0.39311388,0.98593195,1.05850052,1.02682057,0.66833231
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1103,600008,2,6000,6000,18000,4608000,21.631,nan,0.00336338,0.00208546,0.00336338,0.00071892,202,202,0,1.01015711,1.00046194,1,da55aa1331a98596,0.95,1.2,1.65,2.7,96.37651825,0.0,23.21368506,12.9456892,13.83674145,13.40414619,0.39718527,0.98673256,1.05944549,1.02639588,0.66341933
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1104,600009,3,8000,6000,24000,6144000,21.674,nan,0.00330418,0.00210975,0.00330418,0.00073321,174,174,0,1.01032484,1.00046194,1,e7178fe9d6f34125,1.05,1.25,1.8,2.75,88.41674805,0.0,23.23238803,12.83510876,13.90985775,13.46761036,0.37837219,0.9869911,1.06448759,1.03146801,0.66172916
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1105,600010,4,10000,6000,30000,7680000,21.812,nan,0.00335333,0.00210037,0.00335333,0.00065692,202,202,0,1.00504673,1.00046194,1,160dee86ea52110f,0.9,1.2,1.65,2.55,94.53203583,0.0,23.30704285,13.01179695,13.89752197,13.43956184,0.38528845,0.98657866,1.06379053,1.02830809,0.66827809
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1106,600011,5,12000,6000,36000,9216000,21.774,nan,0.00332324,0.00201747,0.00332324,0.00068818,174,174,0,0.99414086,1.00046194,1,1ce675273c34c478,1.0,1.3,1.8,2.85,93.15737915,0.0,23.24365194,12.91707134,13.86437607,13.45527267,0.38902056,0.98712596,1.06091833,1.02891744,0.66670766
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1107,600012,6,14000,6000,42000,10752000,21.762,nan,0.0033298,0.00203664,0.0033298,0.00077515,174,174,0,1.00066459,1.00046194,1,62d1b856863e9622,0.95,1.25,1.75,2.6,95.51850128,0.0,23.22058134,12.88259792,13.86746883,13.44536209,0.38680065,0.98722902,1.06208477,1.0288151,0.66470802
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1108,600013,7,16000,6000,48000,12288000,21.835,nan,0.0033067,0.00201078,0.0033067,0.00076764,174,174,0,1.02204597,1.00046194,1,a2361a26c96092fc,1.0,1.25,1.7,2.75,85.91456604,0.0,23.25409882,12.95196724,13.81171322,13.49445724,0.36858952,0.98682121,1.0567413,1.03266009,0.65217035
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1109,600014,8,18000,6000,54000,13824000,21.868,nan,0.00331782,0.00206317,0.00331782,0.00075137,174,174,0,1.00812268,1.00046194,1,a58c8126dcba80c5,1.0,1.25,1.65,2.6,95.14733887,0.0,23.24139704,12.90422726,13.89406967,13.43275928,0.39907554,0.98758175,1.06317749,1.02756222,0.67204782
cold,0,1,0,0.001,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1110,600015,9,20000,6000,60000,15360000,21.813,nan,0.00330431,0.00200747,0.00330431,0.00070678,174,174,0,0.9957819,1.00046194,1,c28b57b20510f910,1.0,1.3,1.85,2.8,81.11847687,0.0,23.2239621,12.89076424,13.81629086,13.4961834,0.37914857,0.98737503,1.05739143,1.03252491,0.66609404
