arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,n_train,cycle_steps,cum_step,cum_samples,cycle_wall_s,final_train_loss,final_val_mse_noisy,final_val_mse_clean,final_train_val_gap,best_val_mse_clean,step_of_best,handoff_step,best_at_boundary,rollout_std,truth_std,stable,batch_order_hash,vt_mtu@0.2,vt_mtu@0.3,vt_mtu@0.5,vt_mtu@0.8,effective_rank,dormant_frac,weight_norm,wnorm::body.0.weight,wnorm::body.2.weight,wnorm::body.4.weight,wnorm::head.weight,wratio::body.0.weight,wratio::body.2.weight,wratio::body.4.weight,wratio::head.weight
cold,0,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,101,500003,0,2000,6000,6000,1536000,23.364,nan,0.01319787,0.00847789,0.01319787,0.00451045,174,174,0,1.01281011,0.99916321,1,1949d6a0f7dfd389,0.7,0.9,1.35,2.25,95.49987793,0.0,22.78023743,13.11824799,13.16246033,13.16042995,0.63522339,1.0048326,1.00740733,1.0069766,1.07231815
cold,0,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,102,500004,1,4000,6000,12000,3072000,21.915,nan,0.01311303,0.0082267,0.01311303,0.00447427,174,174,0,0.97646654,0.99916321,1,0cf4751c3b3ca1e0,0.75,1.0,1.55,2.6,95.55767822,0.0,22.83380017,13.21053314,13.16678143,13.15762901,0.61393005,1.0047035,1.00752691,1.00706799,1.07572525
cold,0,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,103,500005,2,6000,6000,18000,4608000,21.906,nan,0.01302975,0.00809246,0.01302975,0.00423856,174,174,0,0.98189032,0.99916321,1,95e271ebb909b569,0.7,0.95,1.45,2.55,93.09663391,0.0,22.73637411,13.04662991,13.16438389,13.15441895,0.62322932,1.0047124,1.0072953,1.00661972,1.06767292
cold,0,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,104,500006,3,8000,6000,24000,6144000,21.828,nan,0.0130078,0.00803573,0.0130078,0.00429247,174,174,0,0.9954837,0.99916321,1,9ac25a5a27aa15e6,0.7,0.95,1.45,2.65,93.22309875,0.0,22.8134578,13.17454815,13.16755295,13.15719795,0.62356174,1.00475514,1.00769574,1.00725637,1.07434489
cold,0,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,105,500007,4,10000,6000,30000,7680000,21.899,nan,0.01301262,0.00808885,0.01301262,0.00451408,174,174,0,0.98275292,0.99916321,1,bf14292649ebd118,0.75,1.0,1.55,2.65,96.4302063,0.0,22.76555527,13.09959316,13.15801048,13.15880966,0.61939836,1.00458289,1.00712909,1.00674052,1.07090605
cold,0,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,106,500008,5,12000,6000,36000,9216000,21.885,nan,0.01301172,0.00805672,0.01301172,0.0042585,174,174,0,0.99509937,0.99916321,1,2cfe2780ba0dda8b,0.75,1.0,1.45,2.55,92.61768341,0.0,22.75121307,13.07880783,13.16359901,13.14965153,0.60729527,1.00488207,1.0075984,1.0068114,1.07682565
cold,0,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,107,500009,6,14000,6000,42000,10752000,21.777,nan,0.01301281,0.00806745,0.01301281,0.00423078,174,174,0,0.97681969,0.99916321,1,c2c572b2e58ec64b,0.7,0.95,1.5,2.5,96.19887543,0.0,22.78052934,13.1248579,13.16580677,13.15132618,0.6283102,1.00471682,1.00748453,1.00695778,1.06959878
cold,0,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,108,500010,7,16000,6000,48000,12288000,21.878,nan,0.01299764,0.0080323,0.01299764,0.0043977,174,174,0,1.01093364,0.99916321,1,2021572ab6638b9d,0.7,0.95,1.5,2.6,93.31222534,0.0,22.76381232,13.08466721,13.16426373,13.16399002,0.62782377,1.00496731,1.00793012,1.00741543,1.07921178
cold,0,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,109,500011,8,18000,6000,54000,13824000,21.939,nan,0.01302003,0.00809273,0.01302003,0.00436182,174,174,0,0.98472422,0.99916321,1,489e23f51b008fc4,0.75,1.0,1.5,2.65,95.36395264,0.0,22.81177776,13.181674,13.16204643,13.15285492,0.61936748,1.00465097,1.00763557,1.00717743,1.07616088
cold,0,1,0,3e-05,0.1,512,3,5,4,256,6000,8.0,2633729,0,0,9973,110,500012,9,20000,6000,60000,15360000,21.812,nan,0.01303269,0.0080285,0.01303269,0.00427586,174,174,0,1.00738835,0.99916321,1,040bcd59dd6721e7,0.7,0.95,1.45,2.6,94.83245087,0.0,22.78068511,13.13317299,13.16106606,13.14775467,0.63424659,1.00468127,1.00718843,1.00657643,1.06986766
