n_train,hidden,noise,lr,seed,step,train_mse_clean,val_mse_clean,test_mse_clean
500,64,0.0,0.001,0,0,0.06868365,0.07017159,0.07275613
500,64,0.0,0.001,0,1,0.05608325,0.05727547,0.05962411
500,64,0.0,0.001,0,2,0.04668232,0.04752405,0.04961543
500,64,0.0,0.001,0,3,0.04052087,0.0409451,0.0427602
500,64,0.0,0.001,0,4,0.03761137,0.03762661,0.0391785
500,64,0.0,0.001,0,5,0.03643084,0.03616497,0.03751368
500,64,0.0,0.001,0,6,0.03490296,0.03454323,0.03575671
500,64,0.0,0.001,0,7,0.03226429,0.0319538,0.03309393
500,64,0.0,0.001,0,8,0.02921459,0.02900599,0.03011565
500,64,0.0,0.001,0,9,0.02658112,0.02646985,0.02757322
500,64,0.0,0.001,0,11,0.02318949,0.02318571,0.02428817
500,64,0.0,0.001,0,12,0.02182661,0.02183081,0.02292196
500,64,0.0,0.001,0,14,0.01876666,0.01873413,0.01977137
500,64,0.0,0.001,0,16,0.01615497,0.01608978,0.01704955
500,64,0.0,0.001,0,19,0.01487142,0.01490693,0.01578635
500,64,0.0,0.001,0,22,0.01382059,0.01385195,0.01473987
500,64,0.0,0.001,0,26,0.01179598,0.01165563,0.01243944
500,64,0.0,0.001,0,30,0.00993693,0.00984703,0.01044407
500,64,0.0,0.001,0,34,0.00886004,0.0088214,0.0092938
500,64,0.0,0.001,0,40,0.00716963,0.00705196,0.00742165
500,64,0.0,0.001,0,46,0.00567853,0.00561711,0.00589606
500,64,0.0,0.001,0,54,0.00371724,0.00377269,0.00394785
500,64,0.0,0.001,0,62,0.00240618,0.00247147,0.00260404
500,64,0.0,0.001,0,72,0.00178149,0.00185733,0.00195528
500,64,0.0,0.001,0,83,0.00135736,0.00143923,0.0015119
500,64,0.0,0.001,0,97,0.00100662,0.00109578,0.00115245
500,64,0.0,0.001,0,112,0.00075148,0.0008295,0.00088063
500,64,0.0,0.001,0,130,0.00054883,0.00061495,0.00065456
500,64,0.0,0.001,0,150,0.00042301,0.00047674,0.00050701
