n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,64,0.0,0.001,0,42497,2.1248,6000,256,4468,1,3.45e-06,3.45e-06,6.45e-06,6.45e-06,7.27e-06,7.27e-06,3e-06,nan,0.0,2.168e-05,1.8,3.0078,1,16.11
500,64,0.0,0.003,0,42497,2.1248,6000,256,6000,1,1.75e-06,1.75e-06,3.61e-06,3.61e-06,4.18e-06,4.18e-06,1.85e-06,nan,0.0,3.61e-06,1.95,3.25845,1,8.61
1000,64,0.0,0.001,0,42497,1.0624,6000,256,6000,1,6.62e-06,6.62e-06,8.14e-06,8.14e-06,8.7e-06,8.7e-06,1.52e-06,nan,0.0,8.14e-06,1.8,3.0078,1,8.31
1000,64,0.0,0.003,0,42497,1.0624,6000,256,6000,1,1.8e-06,1.8e-06,3.07e-06,3.07e-06,3.52e-06,3.52e-06,1.26e-06,nan,0.0,3.07e-06,1.9,3.1749,1,8.3
2000,64,0.0,0.001,0,42497,0.5312,6000,256,6000,1,3.18e-06,3.18e-06,4.19e-06,4.19e-06,4.65e-06,4.65e-06,1.01e-06,nan,0.0,4.19e-06,1.9,3.1749,1,8.13
2000,64,0.0,0.003,0,42497,0.5312,6000,256,2477,1,4e-06,4e-06,5.39e-06,5.39e-06,6.2e-06,6.2e-06,1.39e-06,nan,0.0,6.81e-06,1.85,3.09135,1,8.12
5000,64,0.0,0.001,0,42497,0.2125,6000,256,5177,1,6.26e-06,6.26e-06,6.37e-06,6.37e-06,6.73e-06,6.73e-06,1.1e-07,nan,0.0,1.09e-05,1.5,2.5065,1,8.12
5000,64,0.0,0.003,0,42497,0.2125,6000,256,2871,1,3.92e-06,3.92e-06,4.03e-06,4.03e-06,4.43e-06,4.43e-06,1e-07,nan,0.0,5.6e-06,1.95,3.25845,1,8.09
10000,64,0.0,0.001,0,42497,0.1062,6000,256,3327,1,7.05e-06,7.05e-06,7.45e-06,7.45e-06,8.06e-06,8.06e-06,4e-07,nan,0.0,7.63e-06,1.7,2.8407,1,8.12
10000,64,0.0,0.003,0,42497,0.1062,6000,256,6000,1,2.81e-06,2.81e-06,2.96e-06,2.96e-06,3.22e-06,3.22e-06,1.5e-07,nan,0.0,2.96e-06,1.95,3.25845,1,8.13
20000,64,0.0,0.001,0,42497,0.0531,6000,256,5177,1,3.77e-06,3.77e-06,3.81e-06,3.81e-06,4.17e-06,4.17e-06,4e-08,nan,0.0,7.24e-06,2.0,3.342,1,8.08
20000,64,0.0,0.003,0,42497,0.0531,6000,256,2871,1,3.45e-06,3.45e-06,3.44e-06,3.44e-06,3.83e-06,3.83e-06,-2e-08,nan,0.0,2.013e-05,1.95,3.25845,1,8.03
