n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,128,0.0,0.001,1,166913,8.3456,6000,256,5177,1,1.87e-06,1.87e-06,4.35e-06,4.35e-06,4.07e-06,4.07e-06,2.47e-06,nan,0.0,4.54e-06,1.85,3.09135,1,8.93
500,128,0.0,0.003,1,166913,8.3456,6000,256,2871,1,2.56e-06,2.56e-06,5.94e-06,5.94e-06,5.35e-06,5.35e-06,3.38e-06,nan,0.0,3.897e-05,1.8,3.0078,1,8.06
1000,128,0.0,0.001,1,166913,4.1728,6000,256,6000,1,1.73e-06,1.73e-06,2.81e-06,2.81e-06,2.67e-06,2.67e-06,1.08e-06,nan,0.0,2.81e-06,1.95,3.25845,1,7.51
1000,128,0.0,0.003,1,166913,4.1728,6000,256,2137,1,3.59e-06,3.59e-06,5.57e-06,5.57e-06,5.21e-06,5.21e-06,1.97e-06,nan,0.0,1.584e-05,1.75,2.92425,1,7.01
2000,128,0.0,0.001,1,166913,2.0864,6000,256,6000,1,3.64e-06,3.64e-06,4.05e-06,4.05e-06,4.04e-06,4.04e-06,4.1e-07,nan,0.0,4.05e-06,1.8,3.0078,1,6.96
2000,128,0.0,0.003,1,166913,2.0864,6000,256,2871,1,4.31e-06,4.31e-06,5.09e-06,5.09e-06,4.9e-06,4.9e-06,7.8e-07,nan,0.0,5.47e-06,1.8,3.0078,1,6.94
5000,128,0.0,0.001,1,166913,0.8346,6000,256,2871,1,5.54e-06,5.54e-06,5.89e-06,5.89e-06,5.84e-06,5.84e-06,3.6e-07,nan,0.0,6.85e-06,1.9,3.1749,1,7.06
5000,128,0.0,0.003,1,166913,0.8346,6000,256,3327,1,3.05e-06,3.05e-06,3.53e-06,3.53e-06,3.31e-06,3.31e-06,4.9e-07,nan,0.0,1.381e-05,1.9,3.1749,1,7.05
10000,128,0.0,0.001,1,166913,0.4173,6000,256,3327,1,3.8e-06,3.8e-06,3.97e-06,3.97e-06,3.85e-06,3.85e-06,1.7e-07,nan,0.0,4.88e-06,1.9,3.1749,1,7.1
10000,128,0.0,0.003,1,166913,0.4173,6000,256,2477,1,3.66e-06,3.66e-06,3.9e-06,3.9e-06,3.7e-06,3.7e-06,2.3e-07,nan,0.0,5.22e-06,1.85,3.09135,1,7.05
20000,128,0.0,0.001,1,166913,0.2086,6000,256,3855,1,3.45e-06,3.45e-06,3.52e-06,3.52e-06,3.43e-06,3.43e-06,7e-08,nan,0.0,1.271e-05,1.95,3.25845,1,7.03
20000,128,0.0,0.003,1,166913,0.2086,6000,256,4468,1,3.31e-06,3.31e-06,3.41e-06,3.41e-06,3.31e-06,3.31e-06,1e-07,nan,0.0,3.63e-06,2.0,3.342,1,7.03
